,Latitude,Longitude,Tweets,Positive,Negative,Neutral,Mixed,Sentiment
0,25,-99,vaccine selfies have bad vibes to me',0.010870484635233879,0.6265207529067993,0.33292156457901,0.02968723513185978,NEGATIVE
1,25,-99,"please everyone get your vaccine so we can mosh to whole lotta red, thanks.'",0.1483393907546997,0.2778683006763458,0.37048301100730896,0.20330937206745148,NEUTRAL
2,25,-82,The drug companies came up with a vaccine for Covid19 in months but have been working on a cure for Cancer all these years and still haven't found one. What's wrong with that picture ?  Biden said he's going to find a cure fot csncer but he can't even find his own shoes.',0.029002970084547997,0.6230846047401428,0.3308568298816681,0.017055628821253777,NEGATIVE
3,25,-82,  Just a thought but  I'll bet everyone is getting a vaccine shot so that when they arrive they won't have to worry about getting sick from us',0.1381426900625229,0.1269155889749527,0.6451549530029297,0.08978670090436935,NEUTRAL
4,25,-82,Q. Did you take the vaccine because you knowingly wanted to modify your DNA?A. I did not know that. I did not read up on the vaccine before I took it. Does it really do that???',0.010607508942484856,0.32308873534202576,0.6584191918373108,0.007884488441050053,NEUTRAL
5,25,-82,Q. Do you know that you can still spread Covid to others?A. Yes. Q. So you know that you still have to wear a mask (or two!) and social distance?A. Yes.Q. Then why did you take the vaccine?A. [Silence]',0.027844784781336784,0.15428166091442108,0.8175718188285828,0.0003017204871866852,NEUTRAL
6,25,-82,Lin Wood Telegram.Have you had the conversation below where you asked these questions to a work colleague or friend lately?Q. Did you take the Covid vaccine?A: Yes. Q. Do you know that you can still get Covid?A. Yes.',0.023947754874825478,0.005804604850709438,0.9702324271202087,1.5250881006068084e-05,NEUTRAL
7,25,-82,"PLEASE don't even TRY to rewrite history. First Potus has been OVER generous to the past administration. Second, the WORK on this type of vaccine has gone on for years. The fact that failed 45 decided to disregard the virus and NOW YOU try to blame 46 is laughable and pathetic ",0.005057378206402063,0.9834244847297668,0.009843073785305023,0.001675090636126697,NEGATIVE
8,25,-82,Indonesian Nurse Dies After Receiving Chinese-Made COVID-19 Vaccine ,0.0019839999731630087,0.13144037127494812,0.8665574789047241,1.8207212633569725e-05,NEUTRAL
9,25,-82,Find out how to schedule your Covid-19 vaccine.Go to ,0.0065824431367218494,0.0013648240128532052,0.9919345378875732,0.00011817792255897075,NEUTRAL
10,25,-82,Johnson and Johnson Spinning Up Single-Dose COVIDVaccine ,0.0008715405710972846,0.0004702651349361986,0.9986547231674194,3.458686251178733e-06,NEUTRAL
11,25,-82,54-Year-Old Man in Delhi Dies After Taking AstraZeneca's COVID Vaccine + More  Children's Health Defense ,0.003365891519933939,0.6422612071037292,0.35435664653778076,1.6217887605307624e-05,NEGATIVE
